Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-07-01,14174.5,14358.6,13847.3,13945.4,18934597
2001-07-08,13915.7,13955.5,13197.9,13579.7,22917935
2001-07-15,13560.1,13560.1,12892,13404.2,27561647
2001-07-22,13434.4,13674.7,13037.8,13046.2,20225438
2001-07-29,13008.6,13271.9,12745.5,13268.1,23037755
2001-08-05,13288.3,13322,12993.2,13129.9,27501184
2001-08-12,13141.2,13220.9,12446.2,12513.3,19503083
2001-08-19,12505.2,12519.6,11893.9,12018.6,12635858
2001-08-26,11994.4,12698,11988,12698,16832497
2001-09-02,12796.8,12852.6,12508,12802.1,16135208
2001-09-09,12722.8,13219,12719.9,13040.1,23495779
2001-09-16,12949.7,13035.8,12160.3,12233.6,23652951
2001-09-23,11994.3,12256.1,11572.6,11712.4,21257093
2001-09-30,11813.3,11890.6,11464.8,11890.6,24277180
2001-10-07,11842.1,11842.1,11523.2,11654.3,21789504
2001-10-14,11570.6,13044.5,11533.4,12824.5,49054307
2001-10-21,12614.1,13482.1,12584.7,12891.6,45717653
2001-10-28,12900.3,13999.1,12871.5,13895.2,41069368
2001-11-04,13947.3,14187.8,13509.7,13640.1,32657782
2001-11-11,13628.2,13976.2,13394.9,13892.4,29048421
2001-11-18,13925.6,14711.8,13722.4,14593.3,43620733
2001-11-25,14655.9,14725.7,13929,14238.4,43585668
2001-12-02,14223.9,14384.4,13995.8,14036.1,31077305
2001-12-09,13920.5,14465.4,13813.9,14302.4,30339070
2001-12-16,14135.1,14199.1,13335,13542,48201123
2001-12-23,13480.3,13918.3,13479,13719.8,49019951
2001-12-30,13753.9,13858.3,13677.6,13858.3,10526601
2002-01-06,13823.5,15163.7,13807.8,15013.2,31336381
2002-01-13,14972.4,16072.6,14851.2,15700.3,58904729
2002-01-20,15500.1,15989,15264.2,15835.6,38400379
2002-01-27,15709.2,16423.3,15623.8,16311.6,41884956
2002-02-03,16341,16373.2,15617.9,15940.5,36602389
2002-02-10,15776.2,15834.1,15180.4,15374.4,36158625
2002-02-17,15480.3,15538.7,15209.9,15376.7,38126785
2002-02-24,15324.8,15324.8,14955.3,15007.5,26273597
2002-03-03,15048,15424.9,15012.1,15411.5,28969013
2002-03-10,15617.5,15635,15218.4,15489.8,30189975
2002-03-17,15431.9,15453.8,14952.7,15233.2,19269947
2002-03-24,15171.4,15237.1,14774.6,15237.1,32673296
2002-03-31,15279.8,15282.4,14777.3,15026.4,28061438
2002-04-07,14997.9,15002.6,14657,14989.4,24120594
2002-04-14,14976.2,15349.6,14920.9,15049.7,32220995
2002-04-21,14971.7,15281.2,14849,14890.6,37850196
2002-04-28,14802.5,15177.9,14746.7,15162.7,30245666
2002-05-05,15089.9,15218.9,14969.7,14986.1,14445639
2002-05-12,14973.2,15021.2,14797.7,14931.8,18696825
2002-05-19,14875.9,15845.6,14834.7,15663,43492153
2002-05-26,15623.6,15716.1,15436.3,15650.6,36602735
2002-06-02,15572.1,15775.9,15565.5,15643,23344488
2002-06-09,15588.4,15827.3,15443.1,15558.8,25333353
2002-06-16,15505.5,15574.6,15138.3,15151.4,20698939
2002-06-23,15158.3,15272.2,14747,15041,20488454
2002-06-30,14999.8,15036,14102.9,14192.9,32340775
2002-07-07,14077.2,14272.1,13582.1,14048.2,32640498
2002-07-14,14091.6,14186.5,13673.3,13736.1,20117406
2002-07-21,13678.3,13964.1,13267.8,13320.2,24462003
2002-07-28,13102.4,13158.2,12436.8,12835.8,35423718
2002-08-04,12734.9,13166.7,12592.1,13020.2,27988632
2002-08-11,12863,13012.6,12626.9,12744.2,21865881
2002-08-18,12723.8,13108.2,12634.8,12957.8,33304166
2002-08-25,12987,13559.7,12822.9,13393.9,39734863
2002-09-01,13444,13827.3,13223.3,13433.8,31520778
2002-09-08,13427.6,13462.5,12635.1,12992.8,30528416
2002-09-15,12973.6,13433.4,12931.8,13079.8,40269289
2002-09-22,13024.4,13465.3,12964.8,13201.2,36097206
2002-09-29,13279.8,13279.8,12757.2,12985.7,21384753
2002-10-06,12830.7,12963.6,12652,12864.1,23199010
2002-10-13,12766.2,13191,12646.8,13130.1,24364916
2002-10-20,13123.8,13652.6,13044.6,13652.6,30877175
2002-10-27,13609.6,13886.8,13539.3,13690.1,21235034
2002-11-03,13752.8,14177.6,13730.3,14093.2,30807434
2002-11-10,14248.6,14303.4,13680.8,13793,30495855
2002-11-17,13781.1,14052.7,13729.3,13841.7,23008744
2002-11-24,13815.7,14563.9,13809.2,14516,27748373
2002-12-01,14555.5,14931.3,14471.2,14662.9,35128079
2002-12-08,14672.6,15069.8,14668.5,14724.2,31340517
2002-12-15,14679.8,14744.8,14387.9,14534.7,28790635
2002-12-22,14557,14663.5,14034.3,14116.7,32517652
2002-12-29,14122.5,14402.5,14122.5,14402.5,6558932
2003-01-05,14397.8,14795,14210.2,14770.5,22771651
2003-01-12,14843.8,14917.6,14569.3,14785.9,32651395
2003-01-19,14865.7,15168,14578.9,14637.5,31098246
2003-01-26,14594.1,14654,14130.4,14133.8,26306693
2003-02-02,13930.1,13984.9,13623.7,13844.8,24134712
2003-02-09,13927.8,14143.1,13627.5,13797.3,29122164
2003-02-16,13776.1,14000.5,13737.4,13873.2,36328512
2003-02-23,14055.8,14079.9,13808.5,13922.1,37547379
2003-03-02,13892,13956.5,13572.1,13775.5,31640932
2003-03-09,13742.3,13774.2,13420.8,13599.6,37720888
2003-03-16,13668.4,14035,13665.6,13866.6,41395444
2003-03-23,13763.8,14069.4,13568.8,14069.4,30110307
2003-03-30,14058,14128.5,13882.8,13978.3,25031561
2003-04-06,13838.5,14217.3,13692.6,14175.4,31950424
2003-04-13,14375.8,14523.2,14310.5,14368.1,37559692
2003-04-20,14331.3,14331.3,14079.6,14211.6,23957356
2003-04-27,14208.3,14368.1,14142.3,14231.8,23974725
2003-05-04,14172.2,14421.6,14022.2,14421.6,22287939
2003-05-11,14508.4,14675.9,14462.2,14675.9,34155711
2003-05-18,14694,15050.1,14575.1,14892.8,51036807
2003-05-25,14832,15055.8,14699.2,15040.5,41576342
2003-06-01,15064.5,15304.4,14897.5,15304.4,44014981
