"date","price","rate","obs","r_sq","sigma_preds_garch11.norm","sigma_preds_garch11.std","sigma_preds_garch11.ged","sigma_preds_garch11.sstd","sigma_preds_egarch11.norm","sigma_preds_egarch11.std","sigma_preds_egarch11.ged","sigma_preds_egarch11.sstd","sigma_preds_tgarch11.norm","sigma_preds_tgarch11.std","sigma_preds_tgarch11.ged","sigma_preds_tgarch11.sstd","sigma_preds_cgarch11.norm","sigma_preds_cgarch11.std","sigma_preds_cgarch11.ged","sigma_preds_cgarch11.sstd","sigma_preds_RW","sigma_preds_HA","sigma_preds_MA1","sigma_preds_MA3"
2020-01-05,58603.27,0.012456432930362,523,0.000155162721348608,0.000342865499665704,0.000338429166805845,0.000346533790268423,0.000336982025440732,0.000397313213435139,0.000383068493631567,0.000389294167237064,0.000385340379617317,0.00037210577583932,0.00036891953049372,0.000368798670930104,0.000376160023340293,0.00036592807373512,0.000326283272286021,0.000347578929982633,0.000324393106755169,0.000137584514551374,0.000434586860046862,0.000248645813137959,0.000326436722854649
2020-01-12,58732.09,0.00219575841003561,524,4.8213549952421e-06,0.000340481073152516,0.00033318573488248,0.000343559813851399,0.000331569710137159,0.000367612611096955,0.000353690760649272,0.000359573609959297,0.000357204837809036,0.000345620036987946,0.000341224786563415,0.000341620935995277,0.000348685310155343,0.000366654731917093,0.000324421914134998,0.000343466071198641,0.000316826994727695,0.000155162721348608,0.000434051564761999,0.000250837580808504,0.000326920757192898
2020-01-19,59039.84,0.0052262147775366,525,2.73133209009419e-05,0.000337306641107421,0.000318581243949245,0.000340611754022573,0.000315891824569483,0.000357040709319687,0.000335038516262774,0.000344328764799163,0.000336078600878799,0.000325518837643879,0.000317337559634306,0.000318733737681842,0.00032415896112616,0.000354930701475472,0.000308935350037294,0.000333202462696504,0.000303120500641435,4.8213549952421e-06,0.000433230856903937,0.000250555742497537,0.00032476580838119
2020-01-26,58607.31,-0.00735303743106286,526,5.40671594626115e-05,0.000333904714838059,0.000307101528075571,0.000337466667277258,0.000303264101661796,0.000342477326261175,0.000315497308862399,0.000326761315159004,0.000315207071040218,0.000308832367691336,0.000296832216575845,0.000299700734812883,0.000302844384227766,0.000342747185431585,0.000296184948107243,0.000322737115752025,0.000289316303112937,2.73133209009419e-05,0.000432456205117671,0.000240694183845997,0.000323577871799175
2020-02-02,56681.27,-0.0334156117663333,527,0.00111660310971832,0.00033094486138774,0.000298258719054443,0.000332271230172382,0.000293772960055913,0.000360080445969322,0.000326858597737107,0.000340956479298821,0.000324261989805383,0.000330070984615306,0.000310081794810275,0.000315904234599713,0.000314414955786776,0.000326759690623654,0.000287209609055479,0.000318563553810958,0.000280538805026024,5.40671594626115e-05,0.000431735464078328,0.000236781578833602,0.0003239097412265
2020-02-09,57816.25,0.0198260569698263,528,0.000393072534970798,0.000338422737688082,0.000362374944821998,0.000344132096702097,0.000360027963243369,0.000476716999769966,0.000453456813143533,0.000463625852508957,0.000449597540405281,0.000486781479778378,0.000448557848027544,0.000462090023479079,0.000448332111297191,0.000380396987272239,0.00034484795539504,0.000365247606348304,0.000345301040624906,0.00111660310971832,0.000433037493822891,0.000257136209126511,0.000321741935292482
2020-02-16,57895.19,0.00136442882824106,529,1.86166602733527e-06,0.000340097870798076,0.000369401531610402,0.000342759879314939,0.000368278824963766,0.000423141605798657,0.000409102471583099,0.000414969453618688,0.000410457660890654,0.000432069502448865,0.000407912372970459,0.000416801733674486,0.000410220575911672,0.000383968621709949,0.000351965121334203,0.000372815750733844,0.000350589253583212,0.000393072534970798,0.00043296165898636,0.000264552666397398,0.000324117042472815
2020-02-23,57424.47,-0.00816378775923532,530,6.66474305778404e-05,0.000335387083581583,0.000350015234597056,0.000340655753623503,0.0003478595747947,0.000407571846164346,0.000385516925568707,0.000394943247348131,0.00038400089374031,0.000390823600287341,0.000373352100252007,0.000379580021211465,0.000376632050681599,0.00037319978871331,0.000333624796757719,0.000356603297072704,0.000330279196525281,1.86166602733527e-06,0.000432145181726968,0.000263843486925256,0.000316301663860452
2020-03-01,49276.54,-0.153022413381487,531,0.0234158589970948,0.000333723111252707,0.000337486006648585,0.000337018005232186,0.000334406109268214,0.000422773963898128,0.000395738200612679,0.00040754618650727,0.000391875355457754,0.000400295817730068,0.000381905134976142,0.000388517008528983,0.000384689836441046,0.00036795453683969,0.000326936154892816,0.000344696873296888,0.000320176371863916,6.66474305778404e-05,0.000431454259702111,0.00026396341599378,0.000316065001399209
2020-03-08,49326.23,0.0010078825210762,532,1.01582717629091e-06,0.000449677818994813,0.0018748697387145,0.000424809107212604,0.00197414388222219,0.000840790524646462,0.00170388500666702,0.00144877715609346,0.00178550017947737,0.00179049443265459,0.00148050007730777,0.00158877312442344,0.00145135385681944,0.00105646699897836,0.00184873204564512,0.00141959217233525,0.00191792491696775,0.0234158589970948,0.000474821061093418,0.000704663245798317,0.000464332640969631
2020-03-15,38629.63,-0.244436389658299,533,0.0597491485891837,0.000448679776098898,0.00157753165753031,0.000418749716052868,0.00168379795310743,0.000844151252343857,0.00138734984251359,0.00118162609262675,0.0014696324475908,0.00125060227461289,0.00121095598887461,0.00122962246979101,0.00121631047556958,0.000901213998176392,0.00155119090200976,0.00127205931530196,0.00161171263195466,1.01582717629091e-06,0.000473928772517303,0.000704478240771518,0.000463551144079145
