"date","price","rate"
2012-07-08,40792.66,-0.00044654926251475
2012-07-15,40301.29,-0.0121186848991428
2012-07-22,40148.15,-0.0038071162451665
2012-07-29,39935.82,-0.00530269659545723
2012-08-05,40594.36,0.0163554751765069
2012-08-12,41878.23,0.0311369807971165
2012-08-19,41940.79,0.00149274023048029
2012-08-26,41852.69,-0.00210278967916899
2012-09-02,41573.57,-0.00669144323322968
2012-09-09,42503.57,0.0221234435855973
2012-09-16,44089.49,0.0366333596515673
2012-09-23,43701.32,-0.0088431244591245
2012-09-30,43739.81,0.000880363794152572
2012-10-07,44524.65,0.0177842970032795
2012-10-14,43988.28,-0.0121197335916392
2012-10-21,43759.43,-0.00521610236606129
2012-10-28,43264.17,-0.0113823226580578
2012-11-04,43581.92,0.00731757567614899
2012-11-11,43210.47,-0.00855955845636736
2012-11-18,43772.6,0.0129252238586393
2012-11-25,44436.63,0.0150560784576292
2012-12-02,45014.74,0.0129258623785304
2012-12-09,45538.45,0.0115670323527937
2012-12-16,46912.94,0.0297365195364314
2012-12-23,47479.87,0.0120122881622837
2012-12-30,47460.59,-0.000406149291146463
2013-01-06,47888.16,0.00896860978243552
2013-01-13,47440.8,-0.00938567428037018
2013-01-20,47813.69,0.00782938221222729
2013-01-27,47613.95,-0.00418621463746582
2013-02-03,46945.58,-0.0141367270108912
2013-02-10,46741.54,-0.00435578172541362
2013-02-17,46370.13,-0.00797777485594153
2013-02-24,45948.12,-0.00914256800851021
2013-03-03,46341.14,0.00851718555080438
2013-03-10,47074.39,0.015698996935086
2013-03-17,47125.93,0.00109426390786993
2013-03-24,45066.18,-0.0446913042555792
2013-03-31,45147.57,0.00180438175072872
2013-04-07,44597.66,-0.0122550665347099
2013-04-14,45525.92,0.0206004428041329
2013-04-21,43447.75,-0.0467227673748276
2013-04-28,43665.21,0.00499260848679661
2013-05-05,43991.51,0.00744498555668294
2013-05-12,44895.35,0.0203375651560709
2013-05-19,46078.68,0.0260161442332496
2013-05-26,46145.44,0.00144777768898408
2013-06-02,47806.34,0.0353601188523118
2013-06-09,48209.65,0.00840094180129469
2013-06-16,48273.42,0.00132189013649509
2013-06-23,44732.92,-0.0761714027366942
2013-06-30,44747.79,0.000332362140106568
2013-07-07,45110.89,0.00808162274916668
2013-07-14,46150.78,0.0227901814388165
2013-07-21,46399.74,0.00537999355374907
2013-07-28,46258.91,-0.00303976171551845
2013-08-04,48325.33,0.0437017597819427
2013-08-11,49125.36,0.0164195445721909
2013-08-18,49976.48,0.0171770963485098
2013-08-25,49895.1,-0.00162969321225326
2013-09-01,48871.98,-0.0207185754280026
2013-09-08,46717.04,-0.0450952457666016
2013-09-15,49348.61,0.0548006189742338
2013-09-22,50308.19,0.0192582875903522
2013-09-29,50819.81,0.0101183522863852
2013-10-06,50601.24,-0.0043101572774642
2013-10-13,52230.47,0.0316899591454849
2013-10-20,52587.24,0.00680746369620522
2013-10-27,53887.13,0.024418169129639
